country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation,continent
Argentina,2003,male,5-14 years,37,3531507,1.05,Argentina2003,,"127,586,973,492",3668,Millenials,Americas
Argentina,2003,female,5-14 years,25,3419258,0.73,Argentina2003,,"127,586,973,492",3668,Millenials,Americas
Argentina,2004,male,75+ years,227,593409,38.25,Argentina2004,,"164,657,930,453",4683,Silent,Americas
Argentina,2004,male,55-74 years,500,2459960,20.33,Argentina2004,,"164,657,930,453",4683,Silent,Americas
Argentina,2004,male,15-24 years,653,3333328,19.59,Argentina2004,,"164,657,930,453",4683,Millenials,Americas
Argentina,2004,male,25-34 years,445,2930079,15.19,Argentina2004,,"164,657,930,453",4683,Generation X,Americas
Argentina,2004,male,35-54 years,599,4284709,13.98,Argentina2004,,"164,657,930,453",4683,Boomers,Americas
Argentina,2004,female,15-24 years,159,3255244,4.88,Argentina2004,,"164,657,930,453",4683,Millenials,Americas
Argentina,2004,female,55-74 years,136,2895423,4.7,Argentina2004,,"164,657,930,453",4683,Silent,Americas
Argentina,2004,female,75+ years,50,1073648,4.66,Argentina2004,,"164,657,930,453",4683,Silent,Americas
Argentina,2004,female,35-54 years,185,4450210,4.16,Argentina2004,,"164,657,930,453",4683,Boomers,Americas
Argentina,2004,female,25-34 years,99,2940630,3.37,Argentina2004,,"164,657,930,453",4683,Generation X,Americas
Argentina,2004,male,5-14 years,43,3530061,1.22,Argentina2004,,"164,657,930,453",4683,Millenials,Americas
Argentina,2004,female,5-14 years,25,3416244,0.73,Argentina2004,,"164,657,930,453",4683,Millenials,Americas
Argentina,2005,male,75+ years,225,601176,37.43,Argentina2005,0.775,"198,737,095,012",5590,Silent,Americas
Argentina,2005,male,55-74 years,489,2505136,19.52,Argentina2005,0.775,"198,737,095,012",5590,Silent,Americas
Argentina,2005,male,15-24 years,638,3343414,19.08,Argentina2005,0.775,"198,737,095,012",5590,Millenials,Americas
Argentina,2005,male,25-34 years,451,3004991,15.01,Argentina2005,0.775,"198,737,095,012",5590,Generation X,Americas
Argentina,2005,male,35-54 years,539,4336453,12.43,Argentina2005,0.775,"198,737,095,012",5590,Boomers,Americas
Argentina,2005,female,55-74 years,161,2943135,5.47,Argentina2005,0.775,"198,737,095,012",5590,Silent,Americas
Argentina,2005,female,75+ years,59,1101024,5.36,Argentina2005,0.775,"198,737,095,012",5590,Silent,Americas
Argentina,2005,female,15-24 years,148,3260468,4.54,Argentina2005,0.775,"198,737,095,012",5590,Millenials,Americas
Argentina,2005,female,35-54 years,171,4500787,3.8,Argentina2005,0.775,"198,737,095,012",5590,Boomers,Americas
Argentina,2005,female,25-34 years,104,3011376,3.45,Argentina2005,0.775,"198,737,095,012",5590,Generation X,Americas
Argentina,2005,male,5-14 years,52,3528848,1.47,Argentina2005,0.775,"198,737,095,012",5590,Millenials,Americas
Argentina,2005,female,5-14 years,21,3413809,0.62,Argentina2005,0.775,"198,737,095,012",5590,Millenials,Americas
Argentina,2006,male,75+ years,246,620010,39.68,Argentina2006,,"232,557,260,817",6475,Silent,Americas
Argentina,2006,male,15-24 years,656,3357424,19.54,Argentina2006,,"232,557,260,817",6475,Millenials,Americas
Argentina,2006,male,55-74 years,487,2540712,19.17,Argentina2006,,"232,557,260,817",6475,Silent,Americas
Argentina,2006,male,25-34 years,483,3068991,15.74,Argentina2006,,"232,557,260,817",6475,Generation X,Americas
Argentina,2006,male,35-54 years,585,4383730,13.34,Argentina2006,,"232,557,260,817",6475,Boomers,Americas
Argentina,2006,female,15-24 years,175,3271703,5.35,Argentina2006,,"232,557,260,817",6475,Millenials,Americas
Argentina,2006,female,55-74 years,115,2983954,3.85,Argentina2006,,"232,557,260,817",6475,Silent,Americas
Argentina,2006,female,35-54 years,160,4549471,3.52,Argentina2006,,"232,557,260,817",6475,Boomers,Americas
Argentina,2006,female,25-34 years,105,3070419,3.42,Argentina2006,,"232,557,260,817",6475,Generation X,Americas
Argentina,2006,female,75+ years,31,1132977,2.74,Argentina2006,,"232,557,260,817",6475,Silent,Americas
Argentina,2006,male,5-14 years,39,3527369,1.11,Argentina2006,,"232,557,260,817",6475,Millenials,Americas
Argentina,2006,female,5-14 years,26,3412126,0.76,Argentina2006,,"232,557,260,817",6475,Millenials,Americas
Argentina,2007,male,75+ years,225,634995,35.43,Argentina2007,,"287,530,508,431",7918,Silent,Americas
Argentina,2007,male,15-24 years,577,3381171,17.07,Argentina2007,,"287,530,508,431",7918,Millenials,Americas
Argentina,2007,male,55-74 years,438,2582754,16.96,Argentina2007,,"287,530,508,431",7918,Silent,Americas
Argentina,2007,male,25-34 years,490,3125322,15.68,Argentina2007,,"287,530,508,431",7918,Generation X,Americas
Argentina,2007,male,35-54 years,571,4436541,12.87,Argentina2007,,"287,530,508,431",7918,Boomers,Americas
Argentina,2007,female,15-24 years,146,3292790,4.43,Argentina2007,,"287,530,508,431",7918,Millenials,Americas
Argentina,2007,female,25-34 years,126,3120162,4.04,Argentina2007,,"287,530,508,431",7918,Generation X,Americas
Argentina,2007,female,55-74 years,108,3033008,3.56,Argentina2007,,"287,530,508,431",7918,Silent,Americas
Argentina,2007,female,35-54 years,155,4601874,3.37,Argentina2007,,"287,530,508,431",7918,Boomers,Americas
Argentina,2007,female,75+ years,31,1161794,2.67,Argentina2007,,"287,530,508,431",7918,Silent,Americas
Argentina,2007,male,5-14 years,45,3530454,1.27,Argentina2007,,"287,530,508,431",7918,Generation Z,Americas
Argentina,2007,female,5-14 years,34,3414627,1,Argentina2007,,"287,530,508,431",7918,Generation Z,Americas
Argentina,2008,male,75+ years,208,646185,32.19,Argentina2008,,"361,558,037,110",9843,Silent,Americas
Argentina,2008,male,15-24 years,625,3410092,18.33,Argentina2008,,"361,558,037,110",9843,Millenials,Americas
Argentina,2008,male,55-74 years,463,2630686,17.6,Argentina2008,,"361,558,037,110",9843,Silent,Americas
Argentina,2008,male,25-34 years,531,3172743,16.74,Argentina2008,,"361,558,037,110",9843,Generation X,Americas
Argentina,2008,male,35-54 years,582,4496672,12.94,Argentina2008,,"361,558,037,110",9843,Boomers,Americas
Argentina,2008,female,15-24 years,180,3319037,5.42,Argentina2008,,"361,558,037,110",9843,Millenials,Americas
Argentina,2008,female,35-54 years,173,4660022,3.71,Argentina2008,,"361,558,037,110",9843,Boomers,Americas
Argentina,2008,female,55-74 years,108,3088727,3.5,Argentina2008,,"361,558,037,110",9843,Silent,Americas
Argentina,2008,female,75+ years,36,1188016,3.03,Argentina2008,,"361,558,037,110",9843,Silent,Americas
Argentina,2008,female,25-34 years,94,3159967,2.97,Argentina2008,,"361,558,037,110",9843,Generation X,Americas
Argentina,2008,male,5-14 years,39,3539110,1.1,Argentina2008,,"361,558,037,110",9843,Generation Z,Americas
Argentina,2008,female,5-14 years,20,3422263,0.58,Argentina2008,,"361,558,037,110",9843,Generation Z,Americas
Argentina,2009,male,75+ years,177,653486,27.09,Argentina2009,,"332,976,484,578",8961,Silent,Americas
Argentina,2009,male,15-24 years,609,3436265,17.72,Argentina2009,,"332,976,484,578",8961,Millenials,Americas
Argentina,2009,male,55-74 years,434,2683502,16.17,Argentina2009,,"332,976,484,578",8961,Silent,Americas
Argentina,2009,male,25-34 years,504,3210244,15.7,Argentina2009,,"332,976,484,578",8961,Generation X,Americas
Argentina,2009,male,35-54 years,542,4566645,11.87,Argentina2009,,"332,976,484,578",8961,Boomers,Americas
Argentina,2009,female,15-24 years,164,3342385,4.91,Argentina2009,,"332,976,484,578",8961,Millenials,Americas
Argentina,2009,female,55-74 years,112,3148915,3.56,Argentina2009,,"332,976,484,578",8961,Silent,Americas
Argentina,2009,female,25-34 years,105,3189773,3.29,Argentina2009,,"332,976,484,578",8961,Generation X,Americas
Argentina,2009,female,35-54 years,150,4726814,3.17,Argentina2009,,"332,976,484,578",8961,Boomers,Americas
Argentina,2009,female,75+ years,25,1211934,2.06,Argentina2009,,"332,976,484,578",8961,Silent,Americas
Argentina,2009,male,5-14 years,34,3553154,0.96,Argentina2009,,"332,976,484,578",8961,Generation Z,Americas
Argentina,2009,female,5-14 years,28,3434884,0.82,Argentina2009,,"332,976,484,578",8961,Generation Z,Americas
Argentina,2010,male,75+ years,206,657096,31.35,Argentina2010,0.811,"423,627,422,092",11273,Silent,Americas
Argentina,2010,male,15-24 years,683,3455127,19.77,Argentina2010,0.811,"423,627,422,092",11273,Millenials,Americas
Argentina,2010,male,25-34 years,485,3237957,14.98,Argentina2010,0.811,"423,627,422,092",11273,Generation X,Americas
Argentina,2010,male,55-74 years,397,2740656,14.49,Argentina2010,0.811,"423,627,422,092",11273,Silent,Americas
Argentina,2010,male,35-54 years,573,4648068,12.33,Argentina2010,0.811,"423,627,422,092",11273,Generation X,Americas
Argentina,2010,female,15-24 years,150,3358103,4.47,Argentina2010,0.811,"423,627,422,092",11273,Millenials,Americas
Argentina,2010,female,35-54 years,162,4804030,3.37,Argentina2010,0.811,"423,627,422,092",11273,Generation X,Americas
Argentina,2010,female,25-34 years,101,3210247,3.15,Argentina2010,0.811,"423,627,422,092",11273,Generation X,Americas
Argentina,2010,female,55-74 years,99,3212253,3.08,Argentina2010,0.811,"423,627,422,092",11273,Silent,Americas
Argentina,2010,female,75+ years,34,1234182,2.75,Argentina2010,0.811,"423,627,422,092",11273,Silent,Americas
Argentina,2010,male,5-14 years,33,3570316,0.92,Argentina2010,0.811,"423,627,422,092",11273,Generation Z,Americas
Argentina,2010,female,5-14 years,20,3450419,0.58,Argentina2010,0.811,"423,627,422,092",11273,Generation Z,Americas
Argentina,2011,male,75+ years,178,674738,26.38,Argentina2011,0.818,"530,163,281,575",13946,Silent,Americas
Argentina,2011,male,15-24 years,693,3471151,19.96,Argentina2011,0.818,"530,163,281,575",13946,Millenials,Americas
Argentina,2011,male,25-34 years,510,3258804,15.65,Argentina2011,0.818,"530,163,281,575",13946,Millenials,Americas
Argentina,2011,male,55-74 years,416,2788575,14.92,Argentina2011,0.818,"530,163,281,575",13946,Boomers,Americas
Argentina,2011,male,35-54 years,504,4738525,10.64,Argentina2011,0.818,"530,163,281,575",13946,Generation X,Americas
Argentina,2011,female,15-24 years,172,3372659,5.1,Argentina2011,0.818,"530,163,281,575",13946,Millenials,Americas
Argentina,2011,female,35-54 years,157,4893085,3.21,Argentina2011,0.818,"530,163,281,575",13946,Generation X,Americas
Argentina,2011,female,25-34 years,102,3224774,3.16,Argentina2011,0.818,"530,163,281,575",13946,Millenials,Americas
Argentina,2011,female,55-74 years,93,3268753,2.85,Argentina2011,0.818,"530,163,281,575",13946,Boomers,Americas
Argentina,2011,female,75+ years,30,1260121,2.38,Argentina2011,0.818,"530,163,281,575",13946,Silent,Americas
Argentina,2011,female,5-14 years,29,3472180,0.84,Argentina2011,0.818,"530,163,281,575",13946,Generation Z,Americas
Argentina,2011,male,5-14 years,28,3592374,0.78,Argentina2011,0.818,"530,163,281,575",13946,Generation Z,Americas
Argentina,2012,male,75+ years,225,688560,32.68,Argentina2012,0.831,"545,982,375,701",14203,Silent,Americas
Argentina,2012,male,15-24 years,745,3480902,21.4,Argentina2012,0.831,"545,982,375,701",14203,Millenials,Americas
Argentina,2012,male,25-34 years,616,3268154,18.85,Argentina2012,0.831,"545,982,375,701",14203,Millenials,Americas
Argentina,2012,male,55-74 years,451,2839783,15.88,Argentina2012,0.831,"545,982,375,701",14203,Boomers,Americas
Argentina,2012,male,35-54 years,554,4841057,11.44,Argentina2012,0.831,"545,982,375,701",14203,Generation X,Americas
Argentina,2012,female,15-24 years,204,3380770,6.03,Argentina2012,0.831,"545,982,375,701",14203,Millenials,Americas
Argentina,2012,female,35-54 years,164,4993138,3.28,Argentina2012,0.831,"545,982,375,701",14203,Generation X,Americas
Argentina,2012,female,55-74 years,108,3328463,3.24,Argentina2012,0.831,"545,982,375,701",14203,Boomers,Americas
Argentina,2012,female,25-34 years,102,3228400,3.16,Argentina2012,0.831,"545,982,375,701",14203,Millenials,Americas
Argentina,2012,female,75+ years,33,1282726,2.57,Argentina2012,0.831,"545,982,375,701",14203,Silent,Americas
Argentina,2012,male,5-14 years,29,3615254,0.8,Argentina2012,0.831,"545,982,375,701",14203,Generation Z,Americas
Argentina,2012,female,5-14 years,17,3494571,0.49,Argentina2012,0.831,"545,982,375,701",14203,Generation Z,Americas
Argentina,2013,male,75+ years,168,699046,24.03,Argentina2013,0.833,"552,025,140,252",14206,Silent,Americas
Argentina,2013,male,15-24 years,696,3486661,19.96,Argentina2013,0.833,"552,025,140,252",14206,Millenials,Americas
Argentina,2013,male,25-34 years,499,3271373,15.25,Argentina2013,0.833,"552,025,140,252",14206,Millenials,Americas
Argentina,2013,male,55-74 years,398,2894129,13.75,Argentina2013,0.833,"552,025,140,252",14206,Boomers,Americas
Argentina,2013,male,35-54 years,604,4950850,12.2,Argentina2013,0.833,"552,025,140,252",14206,Generation X,Americas
Argentina,2013,female,15-24 years,167,3384642,4.93,Argentina2013,0.833,"552,025,140,252",14206,Millenials,Americas
Argentina,2013,female,25-34 years,102,3226464,3.16,Argentina2013,0.833,"552,025,140,252",14206,Millenials,Americas
Argentina,2013,female,35-54 years,157,5099167,3.08,Argentina2013,0.833,"552,025,140,252",14206,Generation X,Americas
Argentina,2013,female,55-74 years,102,3390673,3.01,Argentina2013,0.833,"552,025,140,252",14206,Boomers,Americas
Argentina,2013,female,75+ years,29,1303352,2.23,Argentina2013,0.833,"552,025,140,252",14206,Silent,Americas
Argentina,2013,female,5-14 years,32,3515742,0.91,Argentina2013,0.833,"552,025,140,252",14206,Generation Z,Americas
Argentina,2013,male,5-14 years,33,3637026,0.91,Argentina2013,0.833,"552,025,140,252",14206,Generation Z,Americas
Argentina,2014,male,75+ years,192,706897,27.16,Argentina2014,0.836,"526,319,673,732",13400,Silent,Americas
Argentina,2014,male,15-24 years,738,3492454,21.13,Argentina2014,0.836,"526,319,673,732",13400,Millenials,Americas
Argentina,2014,male,25-34 years,531,3276955,16.2,Argentina2014,0.836,"526,319,673,732",13400,Millenials,Americas
Argentina,2014,male,55-74 years,405,2951616,13.72,Argentina2014,0.836,"526,319,673,732",13400,Boomers,Americas
Argentina,2014,male,35-54 years,644,5060862,12.73,Argentina2014,0.836,"526,319,673,732",13400,Generation X,Americas
Argentina,2014,female,15-24 years,204,3388324,6.02,Argentina2014,0.836,"526,319,673,732",13400,Millenials,Americas
Argentina,2014,female,35-54 years,196,5203634,3.77,Argentina2014,0.836,"526,319,673,732",13400,Generation X,Americas
Argentina,2014,female,25-34 years,118,3227239,3.66,Argentina2014,0.836,"526,319,673,732",13400,Millenials,Americas
Argentina,2014,female,55-74 years,109,3454994,3.15,Argentina2014,0.836,"526,319,673,732",13400,Boomers,Americas
Argentina,2014,female,75+ years,25,1323654,1.89,Argentina2014,0.836,"526,319,673,732",13400,Silent,Americas
Argentina,2014,female,5-14 years,35,3533961,0.99,Argentina2014,0.836,"526,319,673,732",13400,Generation Z,Americas
Argentina,2014,male,5-14 years,34,3655965,0.93,Argentina2014,0.836,"526,319,673,732",13400,Generation Z,Americas
Argentina,2015,male,75+ years,245,712691,34.38,Argentina2015,,"594,749,285,413",14981,Silent,Americas
Argentina,2015,male,15-24 years,656,3500580,18.74,Argentina2015,,"594,749,285,413",14981,Millenials,Americas
Argentina,2015,male,55-74 years,431,3011963,14.31,Argentina2015,,"594,749,285,413",14981,Boomers,Americas
Argentina,2015,male,25-34 years,465,3289927,14.13,Argentina2015,,"594,749,285,413",14981,Millenials,Americas
Argentina,2015,male,35-54 years,633,5166179,12.25,Argentina2015,,"594,749,285,413",14981,Generation X,Americas
Argentina,2015,female,15-24 years,153,3394201,4.51,Argentina2015,,"594,749,285,413",14981,Millenials,Americas
Argentina,2015,female,55-74 years,125,3520779,3.55,Argentina2015,,"594,749,285,413",14981,Boomers,Americas
Argentina,2015,female,25-34 years,114,3235582,3.52,Argentina2015,,"594,749,285,413",14981,Millenials,Americas
Argentina,2015,female,35-54 years,166,5301368,3.13,Argentina2015,,"594,749,285,413",14981,Generation X,Americas
Argentina,2015,female,75+ years,27,1344980,2.01,Argentina2015,,"594,749,285,413",14981,Silent,Americas
Argentina,2015,male,5-14 years,39,3672155,1.06,Argentina2015,,"594,749,285,413",14981,Generation Z,Americas
Argentina,2015,female,5-14 years,19,3549219,0.54,Argentina2015,,"594,749,285,413",14981,Generation Z,Americas
Armenia,1990,male,35-54 years,25,332700,7.51,Armenia1990,0.632,"2,256,838,858",756,Silent,Asia
Armenia,1990,male,75+ years,2,26900,7.43,Armenia1990,0.632,"2,256,838,858",756,G.I. Generation,Asia
Armenia,1990,male,55-74 years,11,183800,5.98,Armenia1990,0.632,"2,256,838,858",756,G.I. Generation,Asia
Armenia,1990,male,25-34 years,16,307100,5.21,Armenia1990,0.632,"2,256,838,858",756,Boomers,Asia
Armenia,1990,female,35-54 years,15,358000,4.19,Armenia1990,0.632,"2,256,838,858",756,Silent,Asia
Armenia,1990,male,15-24 years,10,272500,3.67,Armenia1990,0.632,"2,256,838,858",756,Generation X,Asia
Armenia,1990,female,55-74 years,6,224100,2.68,Armenia1990,0.632,"2,256,838,858",756,G.I. Generation,Asia
Armenia,1990,female,75+ years,1,48900,2.04,Armenia1990,0.632,"2,256,838,858",756,G.I. Generation,Asia
Armenia,1990,female,25-34 years,4,320700,1.25,Armenia1990,0.632,"2,256,838,858",756,Boomers,Asia
Armenia,1990,female,15-24 years,3,258500,1.16,Armenia1990,0.632,"2,256,838,858",756,Generation X,Asia
Armenia,1990,female,5-14 years,0,316900,0,Armenia1990,0.632,"2,256,838,858",756,Generation X,Asia
Armenia,1990,male,5-14 years,0,333600,0,Armenia1990,0.632,"2,256,838,858",756,Generation X,Asia
Armenia,1991,male,75+ years,5,28800,17.36,Armenia1991,,"2,068,526,522",640,G.I. Generation,Asia
Armenia,1991,male,25-34 years,20,313800,6.37,Armenia1991,,"2,068,526,522",640,Boomers,Asia
Armenia,1991,female,55-74 years,11,247900,4.44,Armenia1991,,"2,068,526,522",640,Silent,Asia
Armenia,1991,male,55-74 years,9,203100,4.43,Armenia1991,,"2,068,526,522",640,Silent,Asia
Armenia,1991,male,35-54 years,14,348500,4.02,Armenia1991,,"2,068,526,522",640,Boomers,Asia
Armenia,1991,female,75+ years,2,52900,3.78,Armenia1991,,"2,068,526,522",640,G.I. Generation,Asia
Armenia,1991,female,35-54 years,9,396300,2.27,Armenia1991,,"2,068,526,522",640,Boomers,Asia
Armenia,1991,male,15-24 years,6,295300,2.03,Armenia1991,,"2,068,526,522",640,Generation X,Asia
Armenia,1991,female,25-34 years,4,342100,1.17,Armenia1991,,"2,068,526,522",640,Boomers,Asia
Armenia,1991,female,15-24 years,0,286400,0,Armenia1991,,"2,068,526,522",640,Generation X,Asia
Armenia,1991,female,5-14 years,0,349500,0,Armenia1991,,"2,068,526,522",640,Millenials,Asia
Armenia,1991,male,5-14 years,0,366200,0,Armenia1991,,"2,068,526,522",640,Millenials,Asia
Armenia,1992,male,75+ years,3,28200,10.64,Armenia1992,,"1,272,577,456",385,G.I. Generation,Asia
Armenia,1992,male,55-74 years,15,215100,6.97,Armenia1992,,"1,272,577,456",385,Silent,Asia
Armenia,1992,male,35-54 years,22,360400,6.1,Armenia1992,,"1,272,577,456",385,Boomers,Asia
Armenia,1992,male,25-34 years,15,312600,4.8,Armenia1992,,"1,272,577,456",385,Boomers,Asia
Armenia,1992,female,55-74 years,10,263400,3.8,Armenia1992,,"1,272,577,456",385,Silent,Asia
Armenia,1992,female,75+ years,2,53400,3.75,Armenia1992,,"1,272,577,456",385,G.I. Generation,Asia
Armenia,1992,male,15-24 years,9,300300,3,Armenia1992,,"1,272,577,456",385,Generation X,Asia
Armenia,1992,female,35-54 years,6,410800,1.46,Armenia1992,,"1,272,577,456",385,Boomers,Asia
Armenia,1992,female,15-24 years,1,290100,0.34,Armenia1992,,"1,272,577,456",385,Generation X,Asia
Armenia,1992,female,25-34 years,0,340900,0,Armenia1992,,"1,272,577,456",385,Boomers,Asia
Armenia,1992,female,5-14 years,0,358200,0,Armenia1992,,"1,272,577,456",385,Millenials,Asia
Armenia,1992,male,5-14 years,0,375300,0,Armenia1992,,"1,272,577,456",385,Millenials,Asia
Armenia,1993,female,75+ years,6,53100,11.3,Armenia1993,,"1,201,313,201",357,G.I. Generation,Asia
Armenia,1993,male,55-74 years,20,226400,8.83,Armenia1993,,"1,201,313,201",357,Silent,Asia
Armenia,1993,male,75+ years,2,28400,7.04,Armenia1993,,"1,201,313,201",357,G.I. Generation,Asia
Armenia,1993,male,35-54 years,25,371900,6.72,Armenia1993,,"1,201,313,201",357,Boomers,Asia
Armenia,1993,male,25-34 years,17,305600,5.56,Armenia1993,,"1,201,313,201",357,Boomers,Asia
Armenia,1993,female,55-74 years,14,276100,5.07,Armenia1993,,"1,201,313,201",357,Silent,Asia
Armenia,1993,male,15-24 years,7,304800,2.3,Armenia1993,,"1,201,313,201",357,Generation X,Asia
Armenia,1993,female,25-34 years,6,335900,1.79,Armenia1993,,"1,201,313,201",357,Boomers,Asia
Armenia,1993,female,35-54 years,6,424000,1.42,Armenia1993,,"1,201,313,201",357,Boomers,Asia
Armenia,1993,female,15-24 years,3,293900,1.02,Armenia1993,,"1,201,313,201",357,Generation X,Asia
Armenia,1993,female,5-14 years,0,364200,0,Armenia1993,,"1,201,313,201",357,Millenials,Asia
Armenia,1993,male,5-14 years,0,382300,0,Armenia1993,,"1,201,313,201",357,Millenials,Asia
Armenia,1994,male,75+ years,7,28200,24.82,Armenia1994,,"1,315,158,670",387,G.I. Generation,Asia
Armenia,1994,female,75+ years,5,51700,9.67,Armenia1994,,"1,315,158,670",387,G.I. Generation,Asia
Armenia,1994,male,55-74 years,20,235500,8.49,Armenia1994,,"1,315,158,670",387,Silent,Asia
Armenia,1994,male,35-54 years,31,382500,8.1,Armenia1994,,"1,315,158,670",387,Boomers,Asia
Armenia,1994,female,55-74 years,18,286000,6.29,Armenia1994,,"1,315,158,670",387,Silent,Asia
Armenia,1994,male,25-34 years,10,297000,3.37,Armenia1994,,"1,315,158,670",387,Boomers,Asia
Armenia,1994,male,15-24 years,6,308300,1.95,Armenia1994,,"1,315,158,670",387,Generation X,Asia
Armenia,1994,female,35-54 years,7,437100,1.6,Armenia1994,,"1,315,158,670",387,Boomers,Asia
Armenia,1994,female,15-24 years,4,297600,1.34,Armenia1994,,"1,315,158,670",387,Generation X,Asia
Armenia,1994,male,5-14 years,2,385400,0.52,Armenia1994,,"1,315,158,670",387,Millenials,Asia
Armenia,1994,female,25-34 years,1,326200,0.31,Armenia1994,,"1,315,158,670",387,Boomers,Asia
Armenia,1994,female,5-14 years,1,367000,0.27,Armenia1994,,"1,315,158,670",387,Millenials,Asia
Armenia,1995,male,55-74 years,29,242300,11.97,Armenia1995,0.605,"1,468,317,350",426,Silent,Asia
Armenia,1995,male,35-54 years,32,395200,8.1,Armenia1995,0.605,"1,468,317,350",426,Boomers,Asia
Armenia,1995,male,25-34 years,21,289500,7.25,Armenia1995,0.605,"1,468,317,350",426,Generation X,Asia
Armenia,1995,male,75+ years,2,28000,7.14,Armenia1995,0.605,"1,468,317,350",426,G.I. Generation,Asia
Armenia,1995,female,75+ years,2,51400,3.89,Armenia1995,0.605,"1,468,317,350",426,G.I. Generation,Asia
Armenia,1995,female,55-74 years,11,295200,3.73,Armenia1995,0.605,"1,468,317,350",426,Silent,Asia
Armenia,1995,female,25-34 years,11,313300,3.51,Armenia1995,0.605,"1,468,317,350",426,Generation X,Asia
Armenia,1995,male,15-24 years,10,313600,3.19,Armenia1995,0.605,"1,468,317,350",426,Generation X,Asia
Armenia,1995,female,35-54 years,8,453600,1.76,Armenia1995,0.605,"1,468,317,350",426,Boomers,Asia
Armenia,1995,female,15-24 years,3,303200,0.99,Armenia1995,0.605,"1,468,317,350",426,Generation X,Asia
Armenia,1995,male,5-14 years,1,388200,0.26,Armenia1995,0.605,"1,468,317,350",426,Millenials,Asia
Armenia,1995,female,5-14 years,0,369700,0,Armenia1995,0.605,"1,468,317,350",426,Millenials,Asia
Armenia,1996,male,75+ years,3,27900,10.75,Armenia1996,,"1,596,968,913",458,G.I. Generation,Asia
Armenia,1996,male,55-74 years,18,246200,7.31,Armenia1996,,"1,596,968,913",458,Silent,Asia
Armenia,1996,male,35-54 years,24,409800,5.86,Armenia1996,,"1,596,968,913",458,Boomers,Asia
Armenia,1996,male,25-34 years,13,284300,4.57,Armenia1996,,"1,596,968,913",458,Generation X,Asia
Armenia,1996,female,55-74 years,12,301900,3.97,Armenia1996,,"1,596,968,913",458,Silent,Asia
Armenia,1996,female,35-54 years,7,471200,1.49,Armenia1996,,"1,596,968,913",458,Boomers,Asia
Armenia,1996,male,15-24 years,4,320000,1.25,Armenia1996,,"1,596,968,913",458,Generation X,Asia
Armenia,1996,female,25-34 years,3,301500,1,Armenia1996,,"1,596,968,913",458,Generation X,Asia
Armenia,1996,female,15-24 years,1,310200,0.32,Armenia1996,,"1,596,968,913",458,Generation X,Asia
Armenia,1996,female,5-14 years,1,371900,0.27,Armenia1996,,"1,596,968,913",458,Millenials,Asia
Armenia,1996,male,5-14 years,1,390300,0.26,Armenia1996,,"1,596,968,913",458,Millenials,Asia
Armenia,1996,female,75+ years,0,51100,0,Armenia1996,,"1,596,968,913",458,G.I. Generation,Asia
Armenia,1997,male,55-74 years,21,246200,8.53,Armenia1997,,"1,639,492,424",465,Silent,Asia
Armenia,1997,male,35-54 years,26,426000,6.1,Armenia1997,,"1,639,492,424",465,Boomers,Asia
Armenia,1997,female,75+ years,3,51400,5.84,Armenia1997,,"1,639,492,424",465,G.I. Generation,Asia
Armenia,1997,male,75+ years,1,28500,3.51,Armenia1997,,"1,639,492,424",465,G.I. Generation,Asia
Armenia,1997,male,25-34 years,9,282000,3.19,Armenia1997,,"1,639,492,424",465,Generation X,Asia
Armenia,1997,female,55-74 years,8,304400,2.63,Armenia1997,,"1,639,492,424",465,Silent,Asia
Armenia,1997,male,15-24 years,4,327300,1.22,Armenia1997,,"1,639,492,424",465,Generation X,Asia
Armenia,1997,female,35-54 years,3,489900,0.61,Armenia1997,,"1,639,492,424",465,Boomers,Asia
Armenia,1997,female,25-34 years,1,294200,0.34,Armenia1997,,"1,639,492,424",465,Generation X,Asia
Armenia,1997,male,5-14 years,1,389500,0.26,Armenia1997,,"1,639,492,424",465,Millenials,Asia
Armenia,1997,female,15-24 years,0,316500,0,Armenia1997,,"1,639,492,424",465,Generation X,Asia
Armenia,1997,female,5-14 years,0,370800,0,Armenia1997,,"1,639,492,424",465,Millenials,Asia
Armenia,1998,male,75+ years,2,29600,6.76,Armenia1998,,"1,893,726,437",532,G.I. Generation,Asia
Armenia,1998,male,55-74 years,16,243300,6.58,Armenia1998,,"1,893,726,437",532,Silent,Asia
Armenia,1998,male,35-54 years,20,445000,4.49,Armenia1998,,"1,893,726,437",532,Boomers,Asia
Armenia,1998,male,25-34 years,6,280200,2.14,Armenia1998,,"1,893,726,437",532,Generation X,Asia
Armenia,1998,female,55-74 years,6,302000,1.99,Armenia1998,,"1,893,726,437",532,Silent,Asia
Armenia,1998,female,75+ years,1,53100,1.88,Armenia1998,,"1,893,726,437",532,G.I. Generation,Asia
Armenia,1998,female,35-54 years,9,509800,1.77,Armenia1998,,"1,893,726,437",532,Boomers,Asia
Armenia,1998,male,15-24 years,4,335100,1.19,Armenia1998,,"1,893,726,437",532,Generation X,Asia
Armenia,1998,female,25-34 years,1,289300,0.35,Armenia1998,,"1,893,726,437",532,Generation X,Asia
Armenia,1998,female,5-14 years,1,364600,0.27,Armenia1998,,"1,893,726,437",532,Millenials,Asia
Armenia,1998,female,15-24 years,0,322300,0,Armenia1998,,"1,893,726,437",532,Generation X,Asia
